iter	Accuracy	MultiClass
0	0.4105865522	2.229662335
1	0.4635193133	2.139825117
2	0.4864091559	2.081662881
3	0.5178826896	2.029476899
4	0.5608011445	1.967424484
5	0.5593705293	1.916581344
6	0.5751072961	1.865936549
7	0.5937052933	1.819853199
8	0.6051502146	1.779104352
9	0.6309012876	1.726099208
10	0.6480686695	1.684196807
11	0.6537911302	1.652012448
12	0.6509298999	1.621020369
13	0.6580829757	1.589147182
14	0.6652360515	1.555443824
15	0.6752503577	1.526021686
16	0.6795422031	1.496614845
17	0.6738197425	1.471861812
18	0.6795422031	1.452232089
19	0.6795422031	1.430391671
20	0.6938483548	1.404549476
21	0.6981402003	1.383749434
22	0.7038626609	1.363515108
23	0.7038626609	1.34805965
24	0.7067238913	1.327424736
25	0.7110157368	1.310131691
26	0.7110157368	1.290753744
27	0.7195994278	1.273129259
28	0.7353361946	1.254495822
29	0.7324749642	1.240959552
30	0.7296137339	1.227895127
31	0.7410586552	1.208258702
32	0.7381974249	1.19636836
33	0.7396280401	1.18431014
34	0.7467811159	1.174422902
35	0.748211731	1.160075924
36	0.7496423462	1.149375352
37	0.7525035765	1.134534929
38	0.7539341917	1.125181913
39	0.7610872675	1.115332413
40	0.7596566524	1.103755359
41	0.765379113	1.093649477
42	0.773962804	1.082019872
43	0.7753934192	1.072629027
44	0.7782546495	1.059628987
45	0.7768240343	1.052703297
46	0.7839771102	1.042092251
47	0.7811158798	1.030739801
48	0.782546495	1.022486285
49	0.7896995708	1.011686324
50	0.7882689557	1.002994945
51	0.7939914163	0.992763463
52	0.7982832618	0.9817635965
53	0.7982832618	0.9728309854
54	0.791130186	0.9640301823
55	0.7939914163	0.9556385459
56	0.7939914163	0.9470574988
57	0.8025751073	0.9382000781
58	0.8011444921	0.9298125062
59	0.8025751073	0.9209942623
60	0.8025751073	0.913144601
61	0.8068669528	0.9052023562
62	0.8054363376	0.8974554572
63	0.8025751073	0.8899345829
64	0.8068669528	0.8842055083
65	0.8054363376	0.8770845464
66	0.808297568	0.8690418027
67	0.8097281831	0.8617065027
68	0.8097281831	0.854239619
69	0.8097281831	0.8470189066
70	0.8111587983	0.840221368
71	0.8154506438	0.8331937894
72	0.8154506438	0.8274446917
73	0.8168812589	0.821304333
74	0.8154506438	0.8135775388
75	0.8226037196	0.8072797979
76	0.8226037196	0.7999612852
77	0.8311874106	0.7920070066
78	0.8311874106	0.7861626817
79	0.8340486409	0.7818534235
80	0.8369098712	0.7782425009
81	0.8369098712	0.7751780675
82	0.8354792561	0.7691873961
83	0.8369098712	0.7615548666
84	0.8397711016	0.7572430782
85	0.8440629471	0.7526327069
86	0.8454935622	0.7488518743
87	0.8454935622	0.7451289865
88	0.8440629471	0.7408224181
89	0.8426323319	0.7357078438
90	0.8454935622	0.7329823677
91	0.8497854077	0.7282040736
92	0.8540772532	0.7224404299
93	0.8526466381	0.7197465226
94	0.8526466381	0.7162349101
95	0.8555078684	0.7108040106
96	0.8526466381	0.7044695327
97	0.8555078684	0.7014792476
98	0.8555078684	0.6974655502
99	0.8569384835	0.6922694282
100	0.861230329	0.6880438049
101	0.8597997139	0.6830403921
102	0.8597997139	0.6803634437
103	0.8655221745	0.6767885401
104	0.8669527897	0.6720000066
105	0.8669527897	0.6672717336
106	0.8741058655	0.6637147636
107	0.8726752504	0.6571374635
108	0.8741058655	0.6526293689
109	0.8741058655	0.6470243618
110	0.8741058655	0.6432203014
