iter	Passed	Remaining
0	381	381550
1	659	329235
2	1092	363168
3	1471	366520
4	1696	337652
5	1928	319405
6	2159	306315
7	2390	296450
8	2619	288407
9	2845	281724
10	3063	275481
11	3283	270354
12	3511	266567
13	3733	262910
14	3963	260283
15	4192	257827
16	4418	255487
17	4641	253216
18	4885	252255
19	5149	252341
20	5408	252133
21	5629	250239
22	5854	248674
23	6082	247338
24	6309	246055
25	6539	244964
26	6776	244209
27	6998	242963
28	7221	241794
29	7476	241738
30	7735	241809
31	7999	241982
32	8240	241485
33	8468	240606
34	8694	239711
35	8922	238936
36	9161	238438
37	9381	237491
38	9605	236700
39	9844	236264
40	10077	235724
41	10302	234989
42	10540	234593
43	10768	233969
44	10996	233361
45	11227	232843
46	11456	232300
47	11686	231790
48	11911	231183
49	12140	230674
50	12361	230023
51	12588	229498
52	12819	229057
53	13039	228430
54	13259	227817
55	13481	227260
56	13708	226796
57	13932	226286
58	14158	225809
59	14387	225397
60	14610	224907
61	14839	224514
62	15064	224056
63	15284	223530
64	15506	223055
65	15730	222615
66	15957	222210
67	16184	221825
68	16409	221407
69	16642	221105
70	16868	220718
71	17092	220309
72	17312	219848
73	17533	219408
74	17765	219107
75	17996	218794
76	18224	218456
77	18464	218255
78	18688	217874
79	18920	217586
80	19159	217377
81	19391	217091
82	19617	216742
83	19843	216386
84	20064	215988
85	20290	215648
86	20512	215265
87	20732	214859
88	20953	214474
89	21177	214123
90	21402	213790
91	21639	213572
92	21864	213237
93	22087	212881
94	22311	212547
95	22544	212297
96	22778	212047
97	23005	211748
98	23226	211385
99	23447	211031
100	23668	210671
101	23895	210377
102	24119	210053
103	24356	209837
104	24578	209499
105	24800	209164
106	25024	208847
107	25247	208527
108	25469	208196
109	25699	207928
110	25932	207691
111	26153	207357
112	26375	207038
113	26598	206721
114	26825	206440
115	27047	206120
116	27273	205830
117	27494	205507
118	27714	205177
119	27940	204897
120	28164	204596
121	28399	204385
122	28626	204108
123	28853	203836
124	29076	203538
125	29302	203256
126	29523	202946
127	29743	202630
128	29963	202311
129	30191	202050
130	30426	201838
131	30646	201520
132	30872	201250
133	31104	201018
134	31328	200732
135	31553	200458
136	31807	200366
137	32036	200112
138	32268	199878
139	32514	199729
140	32737	199440
141	32974	199238
142	33212	199045
143	33449	198840
144	33692	198669
145	33927	198452
146	34168	198271
147	34432	198218
148	34666	197992
149	34894	197734
150	35137	197562
151	35384	197407
152	35618	197179
153	35858	196986
154	36085	196726
155	36313	196467
156	36542	196209
157	36793	196078
158	37026	195844
159	37268	195660
160	37546	195663
161	37785	195457
162	38043	195349
163	38278	195127
164	38503	194851
165	38744	194654
166	38975	194410
167	39222	194242
168	39461	194036
169	39702	193840
170	39940	193628
171	40166	193360
172	40398	193119
173	40631	192883
174	40892	192778
175	41142	192622
176	41377	192392
177	41630	192247
178	41863	192013
179	42127	191915
180	42371	191725
181	42624	191576
182	42860	191350
183	43118	191221
184	43389	191149
185	43637	190973
186	43908	190894
187	44151	190695
188	44402	190530
189	44642	190317
190	44886	190120
191	45126	189909
192	45377	189740
193	45624	189552
194	45879	189400
195	46118	189179
196	46369	189008
197	46616	188819
198	46866	188642
199	47119	188479
200	47354	188239
201	47604	188060
202	47852	187876
203	48074	187585
204	48314	187367
205	48554	187146
206	48794	186927
207	49043	186742
208	49305	186605
209	49567	186468
210	49829	186330
211	50079	186143
212	50313	185899
213	50555	185685
214	50799	185478
215	51048	185287
216	51291	185075
217	51528	184842
218	51773	184636
219	52018	184427
220	52274	184262
221	52509	184018
222	52744	183776
223	52988	183567
224	53231	183353
225	53470	183125
226	53701	182869
227	53954	182687
228	54193	182460
229	54443	182266
230	54693	182075
231	54948	181899
232	55206	181730
233	55449	181514
234	55672	181231
235	55903	180974
236	56131	180709
237	56359	180444
238	56580	180157
239	56817	179922
240	57047	179663
241	57274	179397
